review_threshold,auto_remove_threshold,auto_removed_pct,review_pct,allowed_pct,auto_removed_count,review_count,allowed_count,reviewer_workload_per_1000_comments,spam_caught_pct,spam_auto_removed_pct,legitimate_comments_wrongly_escalated,wrongful_auto_removals,spam_leaked_to_allow,auto_remove_precision,review_queue_spam_rate,allowed_spam_rate,total_ham,total_spam
0.4,0.75,0.3476482617586912,0.17586912065439672,0.47648261758691207,170,86,233,175.8691206543967,0.9482071713147411,0.6772908366533864,18,0,13,1.0,0.7906976744186046,0.055793991416309016,238,251
0.4,0.8,0.3047034764826176,0.21881390593047034,0.47648261758691207,149,107,233,218.81390593047036,0.9482071713147411,0.5936254980079682,18,0,13,1.0,0.8317757009345794,0.055793991416309016,238,251
0.4,0.85,0.24948875255623723,0.2740286298568507,0.47648261758691207,122,134,233,274.0286298568507,0.9482071713147411,0.4860557768924303,18,0,13,1.0,0.8656716417910447,0.055793991416309016,238,251
0.4,0.9,0.17586912065439672,0.3476482617586912,0.47648261758691207,86,170,233,347.6482617586912,0.9482071713147411,0.3426294820717131,18,0,13,1.0,0.8941176470588236,0.055793991416309016,238,251
0.5,0.75,0.3476482617586912,0.13496932515337423,0.5173824130879345,170,66,253,134.96932515337423,0.9083665338645418,0.6772908366533864,8,0,23,1.0,0.8787878787878788,0.09090909090909091,238,251
0.5,0.8,0.3047034764826176,0.17791411042944785,0.5173824130879345,149,87,253,177.91411042944785,0.9083665338645418,0.5936254980079682,8,0,23,1.0,0.9080459770114943,0.09090909090909091,238,251
0.5,0.85,0.24948875255623723,0.2331288343558282,0.5173824130879345,122,114,253,233.12883435582822,0.9083665338645418,0.4860557768924303,8,0,23,1.0,0.9298245614035088,0.09090909090909091,238,251
0.5,0.9,0.17586912065439672,0.3067484662576687,0.5173824130879345,86,150,253,306.7484662576687,0.9083665338645418,0.3426294820717131,8,0,23,1.0,0.9466666666666667,0.09090909090909091,238,251
0.55,0.75,0.3476482617586912,0.11860940695296524,0.5337423312883436,170,58,261,118.60940695296523,0.8844621513944223,0.6772908366533864,6,0,29,1.0,0.896551724137931,0.1111111111111111,238,251
0.55,0.8,0.3047034764826176,0.16155419222903886,0.5337423312883436,149,79,261,161.55419222903885,0.8844621513944223,0.5936254980079682,6,0,29,1.0,0.9240506329113924,0.1111111111111111,238,251
0.55,0.85,0.24948875255623723,0.2167689161554192,0.5337423312883436,122,106,261,216.76891615541922,0.8844621513944223,0.4860557768924303,6,0,29,1.0,0.9433962264150944,0.1111111111111111,238,251
0.55,0.9,0.17586912065439672,0.2903885480572597,0.5337423312883436,86,142,261,290.3885480572597,0.8844621513944223,0.3426294820717131,6,0,29,1.0,0.9577464788732394,0.1111111111111111,238,251
0.6,0.75,0.3476482617586912,0.09202453987730061,0.5603271983640081,170,45,274,92.02453987730061,0.8406374501992032,0.6772908366533864,4,0,40,1.0,0.9111111111111111,0.145985401459854,238,251
0.6,0.8,0.3047034764826176,0.13496932515337423,0.5603271983640081,149,66,274,134.96932515337423,0.8406374501992032,0.5936254980079682,4,0,40,1.0,0.9393939393939394,0.145985401459854,238,251
0.6,0.85,0.24948875255623723,0.1901840490797546,0.5603271983640081,122,93,274,190.1840490797546,0.8406374501992032,0.4860557768924303,4,0,40,1.0,0.956989247311828,0.145985401459854,238,251
0.6,0.9,0.17586912065439672,0.26380368098159507,0.5603271983640081,86,129,274,263.80368098159505,0.8406374501992032,0.3426294820717131,4,0,40,1.0,0.9689922480620154,0.145985401459854,238,251
0.65,0.75,0.3476482617586912,0.06952965235173825,0.5828220858895705,170,34,285,69.52965235173825,0.8047808764940239,0.6772908366533864,2,0,49,1.0,0.9411764705882353,0.17192982456140352,238,251
0.65,0.8,0.3047034764826176,0.11247443762781185,0.5828220858895705,149,55,285,112.47443762781185,0.8047808764940239,0.5936254980079682,2,0,49,1.0,0.9636363636363636,0.17192982456140352,238,251
0.65,0.85,0.24948875255623723,0.16768916155419222,0.5828220858895705,122,82,285,167.68916155419222,0.8047808764940239,0.4860557768924303,2,0,49,1.0,0.975609756097561,0.17192982456140352,238,251
0.65,0.9,0.17586912065439672,0.24130879345603273,0.5828220858895705,86,118,285,241.30879345603273,0.8047808764940239,0.3426294820717131,2,0,49,1.0,0.9830508474576272,0.17192982456140352,238,251
