model,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_average_precision_mean,cv_average_precision_std,cv_roc_auc_mean,cv_roc_auc_std,precision,recall,f1,roc_auc,average_precision,true_negatives,false_positives,false_negatives,true_positives
Logistic Regression,0.9774112639325574,0.009189534787918993,0.9177395143487859,0.022551025860351855,0.9465099913255507,0.01410097414912278,0.9844422044041121,0.005984793727594152,0.9816751155445307,0.007878728597534792,0.9661016949152542,0.9083665338645418,0.9363449691991786,0.9783805952659949,0.9834112421019763,230,8,23,228
Random Forest,0.9614501162664928,0.019592440879637837,0.9230463576158939,0.022919648631865686,0.9417536087585825,0.019119498338235338,0.9860410498398814,0.006646513613455639,0.9829139394635151,0.00799866308448346,0.966804979253112,0.9282868525896414,0.9471544715447154,0.9822391107837557,0.9869608806734661,230,8,18,233
Multinomial Naive Bayes,0.8879123066365782,0.01746635183157212,0.921739514348786,0.01357664637758095,0.9043748853312762,0.011325326419484798,0.9747632517024358,0.004758516297985478,0.968547895781736,0.0067453658510426085,0.8893129770992366,0.9282868525896414,0.9083820662768031,0.9699939736850915,0.9764614642987772,209,29,18,233
