threshold,precision,recall,f1,false_positive_rate,false_negative_rate,comments_flagged_pct,comments_flagged_count
0.1,0.5480349344978166,1.0,0.7080394922425952,0.8697478991596639,0.0,0.9366053169734151,458
0.15,0.5827505827505828,0.9960159362549801,0.7352941176470589,0.7521008403361344,0.00398406374501992,0.8773006134969326,429
0.2,0.6484375,0.9920318725099602,0.784251968503937,0.5672268907563025,0.00796812749003984,0.7852760736196319,384
0.25,0.7272727272727273,0.9880478087649402,0.8378378378378378,0.3907563025210084,0.01195219123505976,0.6973415132924335,341
0.3,0.7941176470588235,0.9681274900398407,0.8725314183123878,0.2647058823529412,0.03187250996015936,0.6257668711656442,306
0.35,0.8814814814814815,0.9482071713147411,0.9136276391554703,0.13445378151260504,0.05179282868525897,0.5521472392638037,270
0.4,0.9296875,0.9482071713147411,0.9388560157790927,0.07563025210084033,0.05179282868525897,0.523517382413088,256
0.45,0.951417004048583,0.9362549800796812,0.9437751004016064,0.05042016806722689,0.06374501992031872,0.5051124744376279,247
0.5,0.9661016949152542,0.9083665338645418,0.9363449691991786,0.03361344537815126,0.09163346613545817,0.48261758691206547,236
0.55,0.9736842105263158,0.8844621513944223,0.9269311064718163,0.025210084033613446,0.11553784860557768,0.4662576687116564,228
0.6,0.9813953488372092,0.8406374501992032,0.9055793991416309,0.01680672268907563,0.1593625498007968,0.4396728016359918,215
0.65,0.9901960784313726,0.8047808764940239,0.8879120879120879,0.008403361344537815,0.1952191235059761,0.4171779141104294,204
0.7,0.9948186528497409,0.7649402390438247,0.8648648648648649,0.004201680672268907,0.2350597609561753,0.3946830265848671,193
0.75,1.0,0.6772908366533864,0.8076009501187649,0.0,0.32270916334661354,0.3476482617586912,170
0.8,1.0,0.5936254980079682,0.745,0.0,0.4063745019920319,0.3047034764826176,149
0.85,1.0,0.4860557768924303,0.6541554959785523,0.0,0.5139442231075697,0.24948875255623723,122
0.9,1.0,0.3426294820717131,0.5103857566765578,0.0,0.6573705179282868,0.17586912065439672,86
0.95,1.0,0.23904382470119523,0.3858520900321543,0.0,0.7609561752988048,0.12269938650306748,60
